#                           1                            2                            3                            4                            5
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2
#                        7623      1.0000000000000000E+000      3.3800000000000002E-003      5.0000000000000000E+001      1.0000000000000000E+003
#
#                                       1                                        2                                        3                                        #4                                        5                                        6                                        7                                        #8                                        9                                       10                                       11                                       #12                                       13                                       14                                       15                                       #16                                       17                                       18                                       19                                       #20                                       21                                       22                                       23                                       #24                                       25                                       26                                       27                                       #28                                       29                                       30                                       31                                       #32                                       33                                       34                                       35                                       #36                                       3738                                       39                                       40                                       #41                                       42                                       43                                       44                                       #45                                       46                                       47                                       48                                       #49                                       50                                       51                                       52                                       #53                                       54                                       55                                       56                                       #57                                       58                                       59                                       60
#                            model_number                                 star_age                                star_mass                                   #log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           #mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             #conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  #mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               #epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               #epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             #si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  #log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               #luminosity                                    log_L                                    log_R                                    log_g                                  #gravity                             log_center_T                           log_center_Rho                             log_center_P                                #center_mu                                center_ye                              center_abar                                center_h1                               #center_he4                               center_c12                               center_o16                              surface_c12                              #surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      #cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              #num_backups
782                  2.7841288263966061E+007                  9.0000000000000002E-001                  5.6754713713442824E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      793                  8.3852610832710922E-002                  9.1140082626154806E-002                  7.8130001357479273E-008                  9.9999999997806277E-001                  9.9586753006869377E-001                  9.1140082626154806E-002                  7.8130001357479273E-008                  9.9999999997806277E-001                  9.9586753006869377E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.8954635930297607E-002                 -4.7326097286947572E+001                 -9.8999999999999986E+001                 -8.8954635930297843E-002                  3.7804495385766423E+000                  8.0510498634239291E-001                 -9.4147483587118483E-002                 -8.4713982494217382E-002                  4.5615598278408847E+000                  3.6438444373640035E+004                  7.1336556585576121E+000                  1.9779800813864565E+000                  1.7259050025876892E+001                  5.9714772276873318E-001                  8.7471734681279811E-001                  1.2324066801988809E+000                  7.4940771531906791E-001                  2.4711887210740596E-001                  5.0676329163907273E-004                  1.5819115062630871E-003                  5.8163219322724400E-004                  1.5819154769446673E-003                  6.7478841795874400E-001                  2.2210415360471852E-001                 -9.9528319820645902E-002                 -1.7077887401076293E+000                 -4.7326097286947572E+001                 -2.2228590921566380E-011                                        0                                        0
                                     785                  2.9900689771648481E+007                  9.0000000000000002E-001                  5.9102372013104114E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      791                  7.3916463853875541E-002                  7.9299732440064608E-002                  7.8130001357479273E-008                  9.9999999997806266E-001                  9.9539183729186509E-001                  7.9299732440064608E-002                  7.8130001357479273E-008                  9.9999999997806266E-001                  9.9539183729186509E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.4151162124289645E-002                 -4.7396453260471446E+001                 -9.8999999999999986E+001                 -9.4151162124289645E-002                  3.7791672656583430E+000                  7.8164536778877758E-001                 -1.0699024149947148E-001                 -8.8570815613795248E-002                  4.5692734940800408E+000                  3.7091422903466562E+004                  7.1323689478239949E+000                  1.9759438416826356E+000                  1.7255677961925375E+001                  5.9720129635878128E-001                  8.7465580879663385E-001                  1.2325485024585150E+000                  7.4928506059463773E-001                  2.4723771431301475E-001                  4.7630323239004191E-004                  1.5819096337499573E-003                  5.8163219322724400E-004                  1.5819154769446666E-003                  6.7476752451739197E-001                  2.2211742014665231E-001                 -1.0364150344268060E-001                 -1.7593901710068753E+000                 -4.7396453260471446E+001                 -4.5937242030562578E-012                                        0                                        0 
                                     790                  3.7163166763616852E+007                  9.0000000000000002E-001                  6.3061434315485352E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      789                  5.2923642039637231E-002                  5.6716404075892901E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9499865818748989E-001                  5.6716404075892901E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9499865818748989E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0022491913930903E-001                 -4.7571189566804684E+001                 -9.8999999999999986E+001                 -1.0022491913930914E-001                  3.7783322199663387E+000                  7.8247619423059134E-001                 -1.0652886639692691E-001                 -8.6670036678514223E-002                  4.5654719362094784E+000                  3.6768163329338604E+004                  7.1290813500475050E+000                  1.9733112401043387E+000                  1.7249616531334304E+001                  5.9739846731508672E-001                  8.7442991313598395E-001                  1.2330692553907958E+000                  7.4883388127026529E-001                  2.4767431273544127E-001                  3.7779663521957075E-004                  1.5819026514106349E-003                  5.8163219322724389E-004                  1.5819154769446666E-003                  6.7469782750467688E-001                  2.2216536353431154E-001                 -1.0695063893658503E-001                 -1.9136289803736115E+000                 -4.7571189566804684E+001                  1.7905177176267629E-012                                        0                                        0 
                                     795                  5.5234533512271583E+007                  9.0000000000000002E-001                  6.7020496617866590E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      782                  3.3267305272155823E-002                  3.6058759881963720E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9487941037800554E-001                  3.6058759881963720E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9487941037800554E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0031761399312850E-001                 -4.7699562237012543E+001                 -1.5352529778863040E+001                 -1.0031761399312825E-001                  3.7780775530297737E+000                  7.9087300622839485E-001                 -1.0189324737723632E-001                 -8.3842893295539109E-002                  4.5598176494435281E+000                  3.6292563840169038E+004                  7.1265300779891865E+000                  1.9731639593400123E+000                  1.7246562304658429E+001                  5.9791997793906082E-001                  8.7383227315522127E-001                  1.2344443501144111E+000                  7.4763966730754472E-001                  2.4884188630123774E-001                  1.9875129960795300E-004                  1.5818826780841066E-003                  5.8163219322724389E-004                  1.5819154769446666E-003                  6.7453597564330114E-001                  2.2229037621156736E-001                 -1.0403460250835068E-001                 -2.1697678748186635E+000                 -4.7699562237012543E+001                  4.8540607785211946E-013                                        0                                        0 
                                     800                  1.0020187682028408E+008                  9.0000000000000002E-001                  7.0979558920247836E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      779                  2.0967449469019978E-002                  2.2364572859068788E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9483551467139086E-001                  2.2364572859068788E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9483551467139086E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.7410899191546482E-002                 -4.7746995539862965E+001                 -1.5653559774527022E+001                 -9.7410899191546357E-002                  3.7780283900628504E+000                  7.9830271522031226E-001                 -9.7832393586028285E-002                 -8.1714140466088186E-002                  4.5555601437846267E+000                  3.5938516318841648E+004                  7.1252614099009834E+000                  1.9755553723977786E+000                  1.7246717829957429E+001                  5.9928866153947835E-001                  8.7226793445615203E-001                  1.2380396052870417E+000                  7.4451247834458822E-001                  2.5194672517612221E-001                  3.7814672497562494E-005                  1.5818236512887833E-003                  5.8163219322724389E-004                  1.5819154769446666E-003                  6.7415243307750994E-001                  2.2261547773868340E-001                 -9.8980909153637331E-002                 -2.5400775708641361E+000                 -4.7746995539862965E+001                  1.7198914095814908E-013                                        0                                        0 
                                     805                  2.1209501652047777E+008                  9.0000000000000002E-001                  7.4938621222629074E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      771                  1.3570791124331448E-002                  1.4306164591129544E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9485992613044572E-001                  1.4306164591129544E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9485992613044572E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.2343439090290538E-002                 -4.7684613020495121E+001                 -1.5255619765854984E+001                 -9.2343439090290247E-002                  3.7781969854131994E+000                  8.0817950725810161E-001                 -9.2492166016063526E-002                 -7.9381217381803607E-002                  4.5508942976160576E+000                  3.5554477244534763E+004                  7.1255789613712999E+000                  1.9806129847062253E+000                  1.7249498978941688E+001                  6.0289068786749689E-001                  8.6818521034824192E-001                  1.2474989806812591E+000                  7.3634861041226862E-001                  2.6010955432274607E-001                  3.0014626039913139E-006                  1.5816431265837580E-003                  5.8163219322724400E-004                  1.5819154769446666E-003                  6.7322549185666347E-001                  2.2345366639725961E-001                 -9.3103413189048329E-002                 -2.8497088910085004E+000                 -4.7684613020495121E+001                  8.8239184506867069E-014                                        0                                        0 
                                     810                  4.9052095389926362E+008                  9.0000000000000002E-001                  7.8897683525010311E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      770                  1.0713995683569287E-002                  1.0878556675016193E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9502325718548146E-001                  1.0878556675016193E-002                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9502325718548146E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.2336873164633673E-002                 -4.7412197968033432E+001                 -9.8999999999999986E+001                 -8.2336873164633728E-002                  3.7788568095314585E+000                  8.2717696954260900E-001                 -8.2401565811784497E-002                 -7.5655565516183201E-002                  4.5434429938848160E+000                  3.4949663115968448E+004                  7.1286639108259218E+000                  1.9934298313490957E+000                  1.7258664400767859E+001                  6.1230820527799490E-001                  8.5774762583667996E-001                  1.2723482416491529E+000                  7.1547518855439263E-001                  2.8098818122292635E-001                  2.3702584142210465E-006                  1.5810931513507338E-003                  5.8163219322724400E-004                  1.5819154769446666E-003                  6.7093795384113342E-001                  2.2561245771080154E-001                 -8.2760013997879911E-002                 -3.0938478007726942E+000                 -4.7412197968033432E+001                  6.4872159832076361E-014                                        0                                        0 
                                     815                  1.1833337823976440E+009                  9.0000000000000002E-001                  8.2856745827391549E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      768                  5.1284717321089159E-003                  4.5848679120424896E-003                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9551173373097002E-001                  4.5848679120424896E-003                  7.8130001357479273E-008                  9.9999999997571887E-001                  9.9551173373097002E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8897363396702790E-002                 -4.6671004456929445E+001                 -9.8999999999999986E+001                 -5.8897363396702901E-002                  3.7806592543205673E+000                  8.7308877015136188E-001                 -5.8941597729772581E-002                 -6.7530471053394769E-002                  4.5271928049592391E+000                  3.3666099679450985E+004                  7.1378145281354657E+000                  2.0288061646920692E+000                  1.7284973437171498E+001                  6.3865765363033633E-001                  8.3036962443355056E-001                  1.3424910452656171E+000                  6.6072418754092155E-001                  3.3575449881967795E-001                  2.5257745944322040E-006                  1.5788109023907508E-003                  5.8163219322724400E-004                  1.5819154769446664E-003                  6.6510724197499249E-001                  2.3126984215837565E-001                 -5.9178668358883621E-002                 -3.2476449264586229E+000                 -4.6671004456929445E+001                  6.2758798903113124E-014                                        0                                        0 
                                     820                  2.3037233716359539E+009                  9.0000000000000002E-001                  8.3527823141730906E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      763                  0.0000000000000000E+000                  9.9999999997337508E-001                  9.9639863253878225E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997337508E-001                  9.9639863253878225E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9154339757797581E-002                 -4.5402795316929826E+001                 -9.8999999999999986E+001                 -1.9154339757797834E-002                  3.7836234741584152E+000                  9.5675559814572975E-001                 -1.9198987962426771E-002                 -5.3587605845417156E-002                  4.4993070745432844E+000                  3.1572362064017208E+004                  7.1545165254411280E+000                  2.0977041407362567E+000                  1.7334561584252402E+001                  6.9476138082234928E-001                  7.7977989417794935E-001                  1.4947620253765523E+000                  5.5955096154159212E-001                  4.3694789079709417E-001                  2.8445678051335210E-006                  1.5675364249466072E-003                  5.8163219322724400E-004                  1.5819154769446664E-003                  6.5503331295905709E-001                  2.4119599500830100E-001                 -1.9469464972007668E-002                 -3.1586130502367298E+000                 -4.5402795316929826E+001                  7.2113067752684115E-014                                        0                                        0 
                                     825                  3.3668950004752069E+009                  9.0000000000000002E-001                  8.3083788727486638E+000                  3.3252920959999507E+001                 -9.8999999999999986E+001                                      764                  0.0000000000000000E+000                  9.9999999997337508E-001                  9.9720235472258434E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999997337508E-001                  9.9720235472258434E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2143036092061107E-002                 -4.4109283305826047E+001                 -9.8999999999999986E+001                  2.2143036092061013E-002                  3.7864049226897643E+000                  1.0521888434805229E+000                  2.2093692594638347E-002                 -3.8504162629582332E-002                  4.4691401881116146E+000                  2.9453722319609285E+004                  7.1728725498335724E+000                  2.1736672684395337E+000                  1.7389516014049619E+001                  7.6050133953445120E-001                  7.2866110376394810E-001                  1.6882557940134906E+000                  4.5731694460931904E-001                  5.3919617047700807E-001                  3.1777238749634602E-006                  1.5394121494277106E-003                  5.8163219322724400E-004                  1.5819154769446664E-003                  6.4458049834208742E-001                  2.5157189940068680E-001                  2.1629391418372477E-002                 -2.9052352832379125E+000                 -4.4109283305826047E+001                  8.5574606563723549E-014                                        0                                        0 
